source_label,native_category,visual_category,occurrence_count,workflow_count,workflow_ids,recommended_state,note
Current modulated hydrogen flow-rate spectroscopy (CH2S),,method,16,16,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; hg-porosimetry-gdl; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; mea-assembly-for-pefc-ref-mea; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer; simulation-of-single-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Image based CCL effective transport property computation from numerical simulations,,model,16,16,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans; diffusivities-from-tortuosities; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; fitting-of-the-europium-model; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-classification-on-tem-data; inpt-cl-process-model; ionomer-reconstruction-in-ccl-3d-images,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Image classification of X-ray tomography data,,data,39,16,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; contact-angle-extraction-of-ct-data; ct-based-capillary-pressure-saturation-curves; image-classification-of-x-ray-tomography-data; image-x-ray-tomography-data-parameter-extraction-3d; lab-ct-measurements-on-gdl-or-mpl-materials; modeling-of-mpl-coating-of-gdl; mpl-saturation-determination-from-x-ray-ct-data; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; synch-ct-measurements-on-gdl-or-mpl-materials; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL saturation determination from X-ray CT-data,,method,16,16,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; image-classification-of-x-ray-tomography-data; image-x-ray-tomography-data-parameter-extraction-3d; impregnation-by-immersion-and-blade-coating; modeling-of-mpl-coating-of-gdl; mpl-saturation-determination-from-x-ray-ct-data; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; ultrasonic-spray-deposition-for-catalytic-layers; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IET composition to property model,,model,15,15,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-tem-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Image classification of FIB tomography data,,data,24,15,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fib-sem-on-cl-material; image-classification-of-fib-tomography-data; image-fib-tomography-dataparameter-extraction-3d; ionomer-reconstruction-in-ccl-3d-images; lab-ct-measurements-on-gdl-or-mpl-materials; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; synch-ct-measurements-on-gdl-or-mpl-materials; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Image classification on nm scale,,method,24,15,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fib-sem-on-cl-material; image-classification-on-nm-scale; image-fib-tomography-dataparameter-extraction-3d; ionomer-reconstruction-in-ccl-3d-images; lab-ct-measurements-on-gdl-or-mpl-materials; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; synch-ct-measurements-on-gdl-or-mpl-materials; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Water retention curve simulation,,model,29,15,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; cea-mea-model-europium-2d; fib-sem-on-cl-material; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-prediction; image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; inpt-cl-process-model; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-saturation-determination-from-x-ray-ct-data; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Modeling of MPL coating of GDL,,model,14,14,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; image-classification-of-x-ray-tomography-data; image-fib-tomography-dataparameter-extraction-3d; image-x-ray-tomography-data-parameter-extraction-3d; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-saturation-determination-from-x-ray-ct-data; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Simulation of two phase 3D apparent properties,,model,14,14,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; cea-mea-model-europium-2d; diffusivities-from-tortuosities; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-performance-model-for-mea-prediction; image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-parameter-estimation-from-gdl-and-substrate-data; mpl-saturation-determination-from-x-ray-ct-data; simulation-of-two-phase-3d-apparent-properties,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate thickness,component,component,13,13,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; gdl-compressability; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Simulation of single phase 3D apparent properties,,model,13,13,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fitting-of-the-europium-model; image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-parameter-estimation-from-gdl-and-substrate-data; mpl-saturation-determination-from-x-ray-ct-data; simulation-of-single-phase-3d-apparent-properties,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Voxel based 3D Electric conductiviy simulation,,model,25,13,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; cea-mea-model-europium-2d; fib-sem-on-cl-material; fitting-of-the-europium-model; image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; inpt-cl-process-model; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-parameter-estimation-from-gdl-and-substrate-data; mpl-saturation-determination-from-x-ray-ct-data; voxel-based-3d-electric-conductiviy-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Voxel based 3D Permability simulation,,model,25,13,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; cea-mea-model-europium-2d; fib-sem-on-cl-material; fitting-of-the-europium-model; image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; inpt-cl-process-model; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-parameter-estimation-from-gdl-and-substrate-data; mpl-saturation-determination-from-x-ray-ct-data; voxel-based-3d-permability-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL effective proton conductivity,component,component,12,12,cea-mea-model-europium-2d; differential-cell-testing; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; manual-ciemat-exp-effective-proton-conductivity; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Distribution of contact angles in CCL FIB-SEM image from ionomer reconstruction,,method,12,12,cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; fitting-of-the-europium-model; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-prediction; image-classification-on-tem-data; inpt-cl-process-model; ionomer-reconstruction-in-ccl-3d-images,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate,component,component,12,12,contact-angle-extraction-of-ct-data; ct-based-capillary-pressure-saturation-curves; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; gas-permeability-of-a-gdl-with-defined-compression; gdl-compressability; hg-porosimetry-gdl; lab-ct-measurements-on-gdl-or-mpl-materials; sem-and-edx; synch-ct-measurements-on-gdl-or-mpl-materials; wilhelmy-wettability-measurement,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Image TEM data parameter extraction 3D,,method,12,12,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-prediction; determination-of-cl-saturation-by-saxs-or-sans; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; iet-composition-to-property-model; iet-ink-to-composition-model; image-classification-on-tem-data; image-tem-data-parameter-extraction-3d; inpt-cl-process-model; ionomer-reconstruction-in-ccl-3d-images,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
INPT CL process model,,model,12,12,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-tem-data-parameter-extraction-3d; inpt-cl-process-model; ionomer-reconstruction-in-ccl-3d-images; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Voxel based 3D Thermal conductivity simulation,,model,24,12,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; cea-mea-model-europium-2d; fib-sem-on-cl-material; fitting-of-the-europium-model; image-classification-of-fib-tomography-data; image-classification-of-x-ray-tomography-data; image-classification-on-nm-scale; inpt-cl-process-model; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; mpl-saturation-determination-from-x-ray-ct-data; voxel-based-3d-thermal-conductivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
0D Particle population degradation model coupled with performance model (fitting),,model,11,11,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-prediction; differential-cell-testing; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell inlet humidification,device,device,11,11,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; determination-of-cl-saturation-by-saxs-or-sans; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; manual-hte-exp-cell-testing; mpl-saturation-determination-from-x-ray-ct-data; neutron-imaging,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell polarization curve,device,device,11,11,cea-mea-model-europium-2d; differential-cell-testing; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; manual-ciemat-exp-single-cell-polarization-eis; manual-hte-exp-cell-testing; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test; pulsed-gas-analysis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
DFT onto idealized surfaces,,method,11,11,adsorbate-surface-diffusion-on-electrocatalyst-support; dft-onto-idealized-surfaces; dip-and-pull-operando-or-in-situ-xps; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions; in-situ-fourier-transformed-ir-in-atr-configuration; irras-operando-or-in-situ-ftir; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Electrical conductivity,,method,16,11,cea-mea-model-europium-2d; electrical-conductivity; fitting-of-the-europium-model; gdl-compressability; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; impregnation-by-immersion-and-blade-coating; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Electrical contact resistance,,method,16,11,cea-mea-model-europium-2d; electrical-contact-resistance; fitting-of-the-europium-model; gdl-compressability; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; impregnation-by-immersion-and-blade-coating; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Electrical TLM characterization of a GDL with defined compression,,method,16,11,cea-mea-model-europium-2d; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; gdl-compressability; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; impregnation-by-immersion-and-blade-coating; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Electrode chemistry,material,material,11,11,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; density-potential-functional-theory-applied-to-supported-electrocatalysts; dft-onto-idealized-surfaces; dip-and-pull-operando-or-in-situ-xps; irras-operando-or-in-situ-ftir; manual-dtu-mod-machine-learning-force-fields; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Fitting Version of the Hierachical Model,,model,22,11,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; dft-onto-idealized-surfaces; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions; rde-on-mono-or-polycrystalline-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Gas permeability of a GDL with defined compression,,method,16,11,cea-mea-model-europium-2d; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; gdl-compressability; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; impregnation-by-immersion-and-blade-coating; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ionomer reconstruction in CCL 3D images,,method,11,11,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; fib-sem-on-cl-material; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-classification-of-fib-tomography-data; image-classification-on-nm-scale; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-tem-data-parameter-extraction-3d; inpt-cl-process-model; ionomer-reconstruction-in-ccl-3d-images,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Modeling of Hydrophobic Treatment of GDL,,model,11,11,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies; image-x-ray-tomography-data-parameter-extraction-3d; modeling-of-hydrophobic-treatment-of-gdl; modeling-of-mpl-coating-of-gdl; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation; voxel-based-3d-electric-conductiviy-simulation; voxel-based-3d-permability-simulation; voxel-based-3d-thermal-conductivity-simulation; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell inlet pressure,device,device,10,10,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; neutron-imaging,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Determination of CL saturation by SAXS/SANS,,method,10,10,blade-coating-and-decal-transfer-for-ref-pefc-ccm; cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; electrospray-deposition-of-catalyst-layers; fitting-of-the-europium-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-tem-data-parameter-extraction-3d; impregnation-by-immersion-and-blade-coating; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Electrode morphology,material,material,10,10,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; density-potential-functional-theory-applied-to-supported-electrocatalysts; dft-onto-idealized-surfaces; dip-and-pull-operando-or-in-situ-xps; manual-dtu-mod-machine-learning-force-fields; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL 3D voxel data classified with ionomer and Pt,meso,data,9,9,determination-of-cl-saturation-by-saxs-or-sans; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-classification-on-tem-data; image-tem-data-parameter-extraction-3d; inpt-cl-process-model; ionomer-reconstruction-in-ccl-3d-images,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL ORR effective exchange current density,component,component,9,9,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate porosity,component,component,9,9,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fitting-of-the-europium-model; hg-porosimetry-gdl; image-x-ray-tomography-data-parameter-extraction-3d; mpl-parameter-estimation-from-gdl-and-substrate-data; simulation-of-single-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Molecular Dynamics for the Electrode | Electrolyte Interface in presence of ionomer,,method,9,9,dft-onto-idealized-surfaces; dip-and-pull-operando-or-in-situ-xps; iet-ink-to-composition-model; irras-operando-or-in-situ-ftir; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; tem-and-eds-analysis-of-mea; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE electrochemical response (idealized),LRE,device,9,9,adsorbate-surface-diffusion-on-electrocatalyst-support; diffusion-theory; fitting-version-of-the-hierachical-model; rde-on-mono-or-polycrystalline-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
TEM and EDS analysis of MEA,,method,9,9,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-prediction; blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; iet-ink-to-composition-model; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; tem-and-eds-analysis-of-mea; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst active particle density,material,material,8,8,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-tem-data-parameter-extraction-3d; manual-fzj-mod-stardist-temseg; manual-fzj-mod-starplatin-temseg,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst active particle radius distribution,material,material,8,8,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-prediction; image-tem-data-parameter-extraction-3d; manual-cea-exp-tem-eds-analysis-cl; manual-fzj-mod-stardist-temseg; manual-fzj-mod-starplatin-temseg; tem-and-eds-analysis-of-mea,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst ink composition,material,material,8,8,cl-for-rde; dropcasted-ink-on-gc-tips; gde-catalytic-layer-preparation; ink-preparation-for-deposition-of-catalytic-layers; inpt-cl-process-model; irras-operando-or-in-situ-ftir; prism-preparation-for-atr-ftir; roller-mixer-and-zirconia-beads-for-ref-pefc-inks,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL porosity,component,component,8,8,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; diffusivities-from-tortuosities; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-prediction; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL water retention curve,component,component,8,8,cea-mea-model-europium-2d; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-prediction; iet-ink-to-composition-model; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
