source_label,native_category,visual_category,occurrence_count,workflow_ids,semantic_role,canonical_role_iri,role_assignment,decision,mapping_state,anchor_iri,confidence,rationale 
Cell stoichiometries,device,device,3,determination-of-cl-saturation-by-saxs-or-sans; iet-1d-performance-model-for-mea-prediction; mpl-saturation-determination-from-x-ray-ct-data,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cell-stoichiometries-device,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Cell Tafel slope,device,device,1,data-extraction-from-existing-pewe-measurements-u-i-t,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,cell_tafel_slope_is_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cell-tafel-slope-device,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Cell temperature,device,device,13,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; determination-of-cl-saturation-by-saxs-or-sans; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; mpl-saturation-determination-from-x-ray-ct-data; neutron-imaging; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cell-temperature-device,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Cell voltammogram,device,device,2,differential-cell-testing; fitting-of-the-europium-model,Data,https://w3id.org/h2kg/hydrogen-ontology#Data,data_product,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cell-voltammogram-device,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Chemicals for prism preparation,material,material,1,prism-preparation-for-atr-ftir,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,prism_chemicals_are_matter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/chemicals-for-prism-preparation-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL (aged),component,component,1,additional-measurements-on-pewe-during-operation,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,component_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-aged-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL for RDE,,method,8,cl-for-rde; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; impregnation-by-immersion-and-blade-coating; model-electrochemistry-in-a-rde-cell; sheet-resistance-measurement,Manufacturing,https://w3id.org/h2kg/hydrogen-ontology#Manufacturing,cl_for_rde_is_manufacturing,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-for-rde-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL local mechanical strength,macrohomogeneous local,other,1,mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,cl_local_mechanical_strength_is_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-local-mechanical-strength-macrohomogeneous-local,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL local Youngs modulus,macrohomogeneous local,other,1,mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,cl_local_youngs_modulus_is_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-local-youngs-modulus-macrohomogeneous-local,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL nanostructure porous network model,meso,data,1,transmission-line-model-fitting-of-cl-eis-patterns-for-components-distribution,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-nanostructure-porous-network-model-meso,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL on GDL,component,component,3,cl-for-rde; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; sheet-resistance-measurement,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,component_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-on-gdl-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL on glassy carbon,component,component,4,cl-for-rde; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; model-electrochemistry-in-a-rde-cell; sheet-resistance-measurement,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,component_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-on-glassy-carbon-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL on membrane,component,component,4,electrospray-deposition-of-catalyst-layers; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; gde-cell-for-electrochemical-studies; sheet-resistance-measurement,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,component_category_default,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-on-membrane-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL on substrate,component,component,6,electrospray-deposition-of-catalyst-layers; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation; sheet-resistance-measurement; ultrasonic-spray-deposition-for-catalytic-layers,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-on-substrate-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL structure (aged),component,component,1,additional-measurements-on-pewe-during-operation,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-structure-aged-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CL thickness (aged),component,component,1,additional-measurements-on-pewe-during-operation,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/cl-thickness-aged-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CLSM electrochemical protocol,component,component,4,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/clsm-electrochemical-protocol-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CLSM electrochemical response (idealized),LRE,device,2,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m,Data,https://w3id.org/h2kg/hydrogen-ontology#Data,data_product,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/clsm-electrochemical-response-idealized-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CLSM electrochemical response (nanostructured),component,component,2,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2,Data,https://w3id.org/h2kg/hydrogen-ontology#Data,data_product,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/clsm-electrochemical-response-nanostructured-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CLSM electrode template,component,component,1,transparent-electrodes-for-clsm-applications,Instrument,https://w3id.org/h2kg/hydrogen-ontology#Instrument,apparatus_or_electrode,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/clsm-electrode-template-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CLSM pH distribution (nanostructured),LRE,device,2,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2,Data,https://w3id.org/h2kg/hydrogen-ontology#Data,data_product,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/clsm-ph-distribution-nanostructured-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CLSM temperature,component,component,2,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,clsm_temperature_is_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/clsm-temperature-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in acidic media in GDE configuration,,method,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med2; electrospray-deposition-of-catalyst-layers; gde-catalytic-layer-preparation,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/confocal-laser-scanning-microscope-clsm-fluorescent-probes-for-local-ph-assessment-in-acidic-media-in-gde-configuration-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in acidic media on model /unsupported electrodes,,model,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; fitting-version-of-the-hierachical-model; transparent-electrodes-for-clsm-applications,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/confocal-laser-scanning-microscope-clsm-fluorescent-probes-for-local-ph-assessment-in-acidic-media-on-model-unsupported-electrodes-model,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in alkaline media in GDE configuration,,method,4,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; development-of-ratiometric-fluorescent-probes-for-local-ph-assessement-in-alkaline-media; electrospray-deposition-of-catalyst-layers; gde-catalytic-layer-preparation,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/confocal-laser-scanning-microscope-clsm-fluorescent-probes-for-local-ph-assessment-in-alkaline-media-in-gde-configuration-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in alkaline media on model/unsupported electrodes,,model,4,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; development-of-ratiometric-fluorescent-probes-for-local-ph-assessement-in-alkaline-media; fitting-version-of-the-hierachical-model; transparent-electrodes-for-clsm-applications,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/confocal-laser-scanning-microscope-clsm-fluorescent-probes-for-local-ph-assessment-in-alkaline-media-on-model-unsupported-electrodes-model,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Contact angle extraction of CT data,,method,5,contact-angle-extraction-of-ct-data; image-classification-of-x-ray-tomography-data; impregnation-by-immersion-and-blade-coating,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/contact-angle-extraction-of-ct-data-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Contact angle probe liquid(s),material,material,4,contact-angle-extraction-of-ct-data; ct-based-capillary-pressure-saturation-curves; external-contact-angle-of-a-gdl; wilhelmy-wettability-measurement,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/contact-angle-probe-liquid-s-material,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Contact resistance measurement,,method,1,contact-resistance-measurement,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/contact-resistance-measurement-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Coordination number and bond distance,LRE,device,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/coordination-number-and-bond-distance-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Corrosion current,component,component,1,ptl-corrosion-measurement,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/corrosion-current-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Corrosion potential,component,component,1,ptl-corrosion-measurement,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/corrosion-potential-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Corrosion potential of zero current,component,component,1,ptl-corrosion-measurement,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/corrosion-potential-of-zero-current-component,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
CT-based capillary pressure saturation curves,,method,13,cea-mea-model-europium-2d; ct-based-capillary-pressure-saturation-curves; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-performance-model-for-mea-prediction; image-classification-of-x-ray-tomography-data; impregnation-by-immersion-and-blade-coating,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/ct-based-capillary-pressure-saturation-curves-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Current modulated hydrogen flow-rate spectroscopy (CH2S),,method,16,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; hg-porosimetry-gdl; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; mea-assembly-for-pefc-ref-mea; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer; simulation-of-single-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/current-modulated-hydrogen-flow-rate-spectroscopy-ch2s-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Data extraction from existing PEWE measurements (U-i-t),,method,3,data-extraction-from-existing-pewe-measurements-u-i-t; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-fitting,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,workflow_or_analysis,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/data-extraction-from-existing-pewe-measurements-u-i-t-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Degradation rates of cell high-frequency resistance,device,device,1,data-extraction-from-existing-pewe-measurements-u-i-t,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/degradation-rates-of-cell-high-frequency-resistance-device,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Degradation rates of cell Tafel slope,device,device,1,data-extraction-from-existing-pewe-measurements-u-i-t,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/degradation-rates-of-cell-tafel-slope-device,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Density-potential functional theory applied to supported electrocatalysts,,model,7,density-potential-functional-theory-applied-to-supported-electrocatalysts; dip-and-pull-operando-or-in-situ-xps; irras-operando-or-in-situ-ftir; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/density-potential-functional-theory-applied-to-supported-electrocatalysts-model,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Determination of CL saturation by SAXS/SANS,,method,10,blade-coating-and-decal-transfer-for-ref-pefc-ccm; cea-mea-model-europium-2d; determination-of-cl-saturation-by-saxs-or-sans; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; electrospray-deposition-of-catalyst-layers; fitting-of-the-europium-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-tem-data-parameter-extraction-3d; impregnation-by-immersion-and-blade-coating; ultrasonic-spray-deposition-for-catalytic-layers,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/determination-of-cl-saturation-by-saxs-sans-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Development of a zero gap cell for GDE based spectrocopy measurement,,method,4,blade-coating-and-decal-transfer-for-ref-pefc-ccm; development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; electrospray-deposition-of-catalyst-layers; ultrasonic-spray-deposition-for-catalytic-layers,Manufacturing,https://w3id.org/h2kg/hydrogen-ontology#Manufacturing,zero_gap_cell_development_is_manufacturing,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Development of ratiometric fluorescent probes for local pH assessement in alkaline media,,method,3,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m2; development-of-ratiometric-fluorescent-probes-for-local-ph-assessement-in-alkaline-media,Parameter,https://w3id.org/h2kg/hydrogen-ontology#Parameter,operating_or_geometric_parameter,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/development-of-ratiometric-fluorescent-probes-for-local-ph-assessement-in-alkaline-media-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
DFT onto idealized surfaces,,method,11,adsorbate-surface-diffusion-on-electrocatalyst-support; dft-onto-idealized-surfaces; dip-and-pull-operando-or-in-situ-xps; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions; in-situ-fourier-transformed-ir-in-atr-configuration; irras-operando-or-in-situ-ftir; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,dft_is_process,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/dft-onto-idealized-surfaces-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Differential Cell Testing,,method,18,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; differential-cell-testing; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; mea-assembly-for-pefc-ref-mea; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer,Measurement,https://w3id.org/h2kg/hydrogen-ontology#Measurement,differential_cell_testing_is_measurement,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/differential-cell-testing-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Diffusion coefficients of species,LRE,device,3,adsorbate-surface-diffusion-on-electrocatalyst-support; diffusion-theory; hierarchical-model-for-electrocatalytic-reactions,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/diffusion-coefficients-of-species-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Diffusion layer thickness,LRE,device,2,diffusion-theory; hierarchical-model-for-electrocatalytic-reactions,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/diffusion-layer-thickness-lre,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Diffusion Theory,,model,7,diffusion-theory; hierarchical-model-for-electrocatalytic-reactions; rde-on-mono-or-polycrystalline-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,physical_or_derived_property,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/diffusion-theory-model,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
Diffusivities from tortuosities,,method,22,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; hg-porosimetry-gdl; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-prediction; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-x-ray-tomography-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; mpl-parameter-estimation-from-gdl-and-substrate-data; sem-and-edx; sem-and-fib-layer; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,diffusivity_derivation_is_process,reviewed_decode_anchor,reviewed_decode,https://w3id.org/h2kg/decode/workflow/anchor/diffusivities-from-tortuosities-method,reviewed_structural,DECODE-specific concept retained as a stable reviewed anchor. Its source topology is preserved; no H2KG synonym or new public term was asserted.
