Acetic Acid Solution | https://w3id.org/h2kg/hydrogen-ontology#AceticAcidSolution | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Dynamic Light Scattering Instrument | https://w3id.org/h2kg/hydrogen-ontology#DynamicLightScatteringInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Dynamic Vapor Sorption Measurement | https://w3id.org/h2kg/hydrogen-ontology#DynamicVaporSorptionMeasurement | type=https://w3id.org/h2kg/hydrogen-ontology#Measurement | incoming_refs=0
E Tek Commercial MEA | https://w3id.org/h2kg/hydrogen-ontology#ETekCommercialMEA | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Ebecryl 8804 | https://w3id.org/h2kg/hydrogen-ontology#Ebecryl8804 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Ebecryl 8807 | https://w3id.org/h2kg/hydrogen-ontology#Ebecryl8807 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
ECSA Basis | https://w3id.org/h2kg/hydrogen-ontology#ECSABasis | type=https://w3id.org/h2kg/hydrogen-ontology#NormalizationBasis | incoming_refs=1
ECSA Dataset | https://w3id.org/h2kg/hydrogen-ontology#ECSADataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=3
EDDET | https://w3id.org/h2kg/hydrogen-ontology#EDDET | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
EIS Nyquist Dataset | https://w3id.org/h2kg/hydrogen-ontology#EISNyquistDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=2
Elcometer 4340 Bar Coating Device | https://w3id.org/h2kg/hydrogen-ontology#Elcometer4340BarCoatingDevice | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Electric Load | https://w3id.org/h2kg/hydrogen-ontology#ElectricLoad | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=3
Electrical Properties Table | https://w3id.org/h2kg/hydrogen-ontology#ElectricalPropertiesTable | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
Electrode Sintering | https://w3id.org/h2kg/hydrogen-ontology#ElectrodeSintering | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Electrode Substrate | https://w3id.org/h2kg/hydrogen-ontology#ElectrodeSubstrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Electrosprayed Catalyst Layer | https://w3id.org/h2kg/hydrogen-ontology#ElectrosprayedCatalystLayer | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Electrospun Catalyst Layer | https://w3id.org/h2kg/hydrogen-ontology#ElectrospunCatalystLayer | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Elman Neural Network Model | https://w3id.org/h2kg/hydrogen-ontology#ElmanNeuralNetworkModel | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=0
ELS Instrument | https://w3id.org/h2kg/hydrogen-ontology#ELSInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Environmental Chamber | https://w3id.org/h2kg/hydrogen-ontology#EnvironmentalChamber | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Envisiontec 3 D Bio Plotter | https://w3id.org/h2kg/hydrogen-ontology#Envisiontec3DBioPlotter | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
Epoxidized Castor Oil | https://w3id.org/h2kg/hydrogen-ontology#EpoxidizedCastorOil | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Epoxidized Soybean Oil | https://w3id.org/h2kg/hydrogen-ontology#EpoxidizedSoybeanOil | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Epoxy Resin | https://w3id.org/h2kg/hydrogen-ontology#EpoxyResin | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
EQE Spectrometer | https://w3id.org/h2kg/hydrogen-ontology#EQESpectrometer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
ESR Spectrometer | https://w3id.org/h2kg/hydrogen-ontology#ESRSpectrometer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
ETFE Sheet Substrate | https://w3id.org/h2kg/hydrogen-ontology#ETFESheetSubstrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Ethane Cryogen | https://w3id.org/h2kg/hydrogen-ontology#EthaneCryogen | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Ethanol | https://w3id.org/h2kg/hydrogen-ontology#Ethanol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=6
Ethyl Acetate | https://w3id.org/h2kg/hydrogen-ontology#EthylAcetate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Ethylene Gas | https://w3id.org/h2kg/hydrogen-ontology#EthyleneGas | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Ethylene Glycol | https://w3id.org/h2kg/hydrogen-ontology#EthyleneGlycol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=3
Ethylene Glycol Butyl Ether | https://w3id.org/h2kg/hydrogen-ontology#EthyleneGlycolButylEther | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Ethylene Glycol Diethyl Ether | https://w3id.org/h2kg/hydrogen-ontology#EthyleneGlycolDiethylEther | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=3
Ethylene Glycol Dimethyl Ether | https://w3id.org/h2kg/hydrogen-ontology#EthyleneGlycolDimethylEther | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=3
Excimer Laser Instrument | https://w3id.org/h2kg/hydrogen-ontology#ExcimerLaserInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Exfoliated Silica Nanosheet | https://w3id.org/h2kg/hydrogen-ontology#ExfoliatedSilicaNanosheet | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
External Quantum Efficiency Dataset | https://w3id.org/h2kg/hydrogen-ontology#ExternalQuantumEfficiencyDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
F 19 NMR Instrument | https://w3id.org/h2kg/hydrogen-ontology#F19NMRInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Fe 2 O 3 Powder | https://w3id.org/h2kg/hydrogen-ontology#Fe2O3Powder | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Fe 20 Ni 5 Mo Alloy | https://w3id.org/h2kg/hydrogen-ontology#Fe20Ni5MoAlloy | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Fe 20 Ni Alloy | https://w3id.org/h2kg/hydrogen-ontology#Fe20NiAlloy | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Fe AA Pyr Catalyst | https://w3id.org/h2kg/hydrogen-ontology#FeAAPyrCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Fe Co AA Pyr Catalyst | https://w3id.org/h2kg/hydrogen-ontology#FeCoAAPyrCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Fe Co Bimetallic Catalyst | https://w3id.org/h2kg/hydrogen-ontology#FeCoBimetallicCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Fe Doped Graphene Flakes | https://w3id.org/h2kg/hydrogen-ontology#FeDopedGrapheneFlakes | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Fe Mn AA Pyr Catalyst | https://w3id.org/h2kg/hydrogen-ontology#FeMnAAPyrCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Fe NC Catalyst | https://w3id.org/h2kg/hydrogen-ontology#FeNCCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=8
Fe Ni AA Pyr Catalyst | https://w3id.org/h2kg/hydrogen-ontology#FeNiAAPyrCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Fe Powder | https://w3id.org/h2kg/hydrogen-ontology#FePowder | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Ferritin | https://w3id.org/h2kg/hydrogen-ontology#Ferritin | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Ferritin Surfactant Micelle Complex | https://w3id.org/h2kg/hydrogen-ontology#FerritinSurfactantMicelleComplex | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Fiber Optic Oxygen Probe | https://w3id.org/h2kg/hydrogen-ontology#FiberOpticOxygenProbe | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Fiji Image J Software | https://w3id.org/h2kg/hydrogen-ontology#FijiImageJSoftware | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
Filament On Demand Mode | https://w3id.org/h2kg/hydrogen-ontology#FilamentOnDemandMode | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Fixed Bed Reactor | https://w3id.org/h2kg/hydrogen-ontology#FixedBedReactor | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Flow Channel | https://w3id.org/h2kg/hydrogen-ontology#FlowChannel | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Fluorescence Microscope | https://w3id.org/h2kg/hydrogen-ontology#FluorescenceMicroscope | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Formaldehyde | https://w3id.org/h2kg/hydrogen-ontology#Formaldehyde | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Formic Acid | https://w3id.org/h2kg/hydrogen-ontology#FormicAcid | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Freeze Drier | https://w3id.org/h2kg/hydrogen-ontology#FreezeDrier | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
FTIR Dataset | https://w3id.org/h2kg/hydrogen-ontology#FTIRDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
FTIR Instrument | https://w3id.org/h2kg/hydrogen-ontology#FTIRInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
FTIR Spectrometer | https://w3id.org/h2kg/hydrogen-ontology#FTIRSpectrometer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
FTO Glass Substrate | https://w3id.org/h2kg/hydrogen-ontology#FTOGlassSubstrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
FU Ndoped Carbon Catalyst | https://w3id.org/h2kg/hydrogen-ontology#FUNdopedCarbonCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Fuel Cell Aging Dataset | https://w3id.org/h2kg/hydrogen-ontology#FuelCellAgingDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
Fuel Cell Polarization Dataset | https://w3id.org/h2kg/hydrogen-ontology#FuelCellPolarizationDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=3
Fuel Cell Test Cell | https://w3id.org/h2kg/hydrogen-ontology#FuelCellTestCell | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=7
Fumed Silica | https://w3id.org/h2kg/hydrogen-ontology#FumedSilica | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Furfural | https://w3id.org/h2kg/hydrogen-ontology#Furfural | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Furfuryl Alcohol | https://w3id.org/h2kg/hydrogen-ontology#FurfurylAlcohol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Galvanostatic Activation | https://w3id.org/h2kg/hydrogen-ontology#GalvanostaticActivation | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Gas Adsorption Analyzer | https://w3id.org/h2kg/hydrogen-ontology#GasAdsorptionAnalyzer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Gas Chromatograph | https://w3id.org/h2kg/hydrogen-ontology#GasChromatograph | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Gas Chromatograph FID | https://w3id.org/h2kg/hydrogen-ontology#GasChromatographFID | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Gas Chromatography Instrument | https://w3id.org/h2kg/hydrogen-ontology#GasChromatographyInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Gas Crossover Method | https://w3id.org/h2kg/hydrogen-ontology#GasCrossoverMethod | type=https://w3id.org/h2kg/hydrogen-ontology#Measurement | incoming_refs=0
Gas Diffusion Electrode Method | https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionElectrodeMethod | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Gas Humidification Unit | https://w3id.org/h2kg/hydrogen-ontology#GasHumidificationUnit | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=7
Gas Sorption Analyzer | https://w3id.org/h2kg/hydrogen-ontology#GasSorptionAnalyzer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=3
GCMS Instrument | https://w3id.org/h2kg/hydrogen-ontology#GCMSInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
GDE Fixture | https://w3id.org/h2kg/hydrogen-ontology#GDEFixture | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
GDE Half Cell Setup | https://w3id.org/h2kg/hydrogen-ontology#GDEHalfCellSetup | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Gel Permeation Chromatography Instrument | https://w3id.org/h2kg/hydrogen-ontology#GelPermeationChromatographyInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Geopolymer Ink | https://w3id.org/h2kg/hydrogen-ontology#GeopolymerInk | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Geopolymer Lattice Catalyst | https://w3id.org/h2kg/hydrogen-ontology#GeopolymerLatticeCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Geopolymer Powder Filler | https://w3id.org/h2kg/hydrogen-ontology#GeopolymerPowderFiller | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Gloss Meter | https://w3id.org/h2kg/hydrogen-ontology#GlossMeter | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Glucose | https://w3id.org/h2kg/hydrogen-ontology#Glucose | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Glycerol | https://w3id.org/h2kg/hydrogen-ontology#Glycerol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Glycidyl Methacrylate | https://w3id.org/h2kg/hydrogen-ontology#GlycidylMethacrylate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Gold Nanoparticle Ink | https://w3id.org/h2kg/hydrogen-ontology#GoldNanoparticleInk | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Gold Plated Probes | https://w3id.org/h2kg/hydrogen-ontology#GoldPlatedProbes | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Graphene Nanoplatelets | https://w3id.org/h2kg/hydrogen-ontology#GrapheneNanoplatelets | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Graphene Oxide | https://w3id.org/h2kg/hydrogen-ontology#GrapheneOxide | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Graphite Ink Suspension | https://w3id.org/h2kg/hydrogen-ontology#GraphiteInkSuspension | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Graphite Oxide | https://w3id.org/h2kg/hydrogen-ontology#GraphiteOxide | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Graphite Powder | https://w3id.org/h2kg/hydrogen-ontology#GraphitePowder | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Graphite Sheet | https://w3id.org/h2kg/hydrogen-ontology#GraphiteSheet | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Graphite Sheet With Carboxylate Groups | https://w3id.org/h2kg/hydrogen-ontology#GraphiteSheetWithCarboxylateGroups | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Gravity Feed Airbrush | https://w3id.org/h2kg/hydrogen-ontology#GravityFeedAirbrush | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Grid LSTM Model | https://w3id.org/h2kg/hydrogen-ontology#GridLSTMModel | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=0
GU Ndoped Carbon Catalyst | https://w3id.org/h2kg/hydrogen-ontology#GUNdopedCarbonCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Hall Measurement System | https://w3id.org/h2kg/hydrogen-ontology#HallMeasurementSystem | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Halloysite Nanoclay | https://w3id.org/h2kg/hydrogen-ontology#HalloysiteNanoclay | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Heat Gun | https://w3id.org/h2kg/hydrogen-ontology#HeatGun | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Heated Vacuum Table | https://w3id.org/h2kg/hydrogen-ontology#HeatedVacuumTable | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Helium | https://w3id.org/h2kg/hydrogen-ontology#Helium | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Helium Pycnometer | https://w3id.org/h2kg/hydrogen-ontology#HeliumPycnometer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Heptanol | https://w3id.org/h2kg/hydrogen-ontology#Heptanol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Hexane | https://w3id.org/h2kg/hydrogen-ontology#Hexane | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Hexylamine | https://w3id.org/h2kg/hydrogen-ontology#Hexylamine | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
High Pressure Homogenizer | https://w3id.org/h2kg/hydrogen-ontology#HighPressureHomogenizer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
High Shear Mixer | https://w3id.org/h2kg/hydrogen-ontology#HighShearMixer | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
High Speed Video Camera | https://w3id.org/h2kg/hydrogen-ontology#HighSpeedVideoCamera | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
High Speed Video Dataset | https://w3id.org/h2kg/hydrogen-ontology#HighSpeedVideoDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
High Temperature PEMFC | https://w3id.org/h2kg/hydrogen-ontology#HighTemperaturePEMFC | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
High Voltage Power Supply | https://w3id.org/h2kg/hydrogen-ontology#HighVoltagePowerSupply | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Hollow Carbon Sphere | https://w3id.org/h2kg/hydrogen-ontology#HollowCarbonSphere | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
HOSPEEK 64 | https://w3id.org/h2kg/hydrogen-ontology#HOSPEEK64 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Hot Blower | https://w3id.org/h2kg/hydrogen-ontology#HotBlower | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Hot Plate | https://w3id.org/h2kg/hydrogen-ontology#HotPlate | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Humidity Sensor | https://w3id.org/h2kg/hydrogen-ontology#HumiditySensor | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
Hybrid DLPDIW Printing | https://w3id.org/h2kg/hydrogen-ontology#HybridDLPDIWPrinting | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Hydrazine | https://w3id.org/h2kg/hydrogen-ontology#Hydrazine | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Hydrocarbon Ionomer | https://w3id.org/h2kg/hydrogen-ontology#HydrocarbonIonomer | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Hydrochloric Acid | https://w3id.org/h2kg/hydrogen-ontology#HydrochloricAcid | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Hydrofluoric Acid | https://w3id.org/h2kg/hydrogen-ontology#HydrofluoricAcid | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Hydrogen | https://w3id.org/h2kg/hydrogen-ontology#Hydrogen | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=6
Hydrogen Peroxide | https://w3id.org/h2kg/hydrogen-ontology#HydrogenPeroxide | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Hydrogen Pumping Activation | https://w3id.org/h2kg/hydrogen-ontology#HydrogenPumpingActivation | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Hydroiodic Acid | https://w3id.org/h2kg/hydrogen-ontology#HydroiodicAcid | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Hydrophilic Catalyst Ink | https://w3id.org/h2kg/hydrogen-ontology#HydrophilicCatalystInk | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Hydrophobic Catalyst Ink | https://w3id.org/h2kg/hydrogen-ontology#HydrophobicCatalystInk | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
I 2 Ionomer | https://w3id.org/h2kg/hydrogen-ontology#I2Ionomer | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
ICP Instrument | https://w3id.org/h2kg/hydrogen-ontology#ICPInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
ICPAES Instrument | https://w3id.org/h2kg/hydrogen-ontology#ICPAESInstrument | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Ilastik Software | https://w3id.org/h2kg/hydrogen-ontology#IlastikSoftware | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=0
Impedance Dataset | https://w3id.org/h2kg/hydrogen-ontology#ImpedanceDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=3
Impregnated Support | https://w3id.org/h2kg/hydrogen-ontology#ImpregnatedSupport | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Infrared Camera | https://w3id.org/h2kg/hydrogen-ontology#InfraredCamera | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=1
Ink Degassing | https://w3id.org/h2kg/hydrogen-ontology#InkDegassing | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Ink Preparation Burning Reaction | https://w3id.org/h2kg/hydrogen-ontology#InkPreparationBurningReaction | type=https://w3id.org/h2kg/hydrogen-ontology#Manufacturing | incoming_refs=0
Inkjet Printer | https://w3id.org/h2kg/hydrogen-ontology#InkjetPrinter | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Interdigitated Electrode Array | https://w3id.org/h2kg/hydrogen-ontology#InterdigitatedElectrodeArray | type=https://w3id.org/h2kg/hydrogen-ontology#Instrument | incoming_refs=2
Iodide Triiodide Redox Electrolyte | https://w3id.org/h2kg/hydrogen-ontology#IodideTriiodideRedoxElectrolyte | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Ionic Liquid Additive | https://w3id.org/h2kg/hydrogen-ontology#IonicLiquidAdditive | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Ionomer Dispersion Property Dataset | https://w3id.org/h2kg/hydrogen-ontology#IonomerDispersionPropertyDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
Ionomer Film | https://w3id.org/h2kg/hydrogen-ontology#IonomerFilm | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Ionomer Nanofiber Scaffolding Catalyst Layer | https://w3id.org/h2kg/hydrogen-ontology#IonomerNanofiberScaffoldingCatalystLayer | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=3
Ionomer Solution | https://w3id.org/h2kg/hydrogen-ontology#IonomerSolution | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=7
Ionomer Type | https://w3id.org/h2kg/hydrogen-ontology#IonomerType | type=https://w3id.org/h2kg/hydrogen-ontology#Parameter | incoming_refs=1
Irgacure 819 | https://w3id.org/h2kg/hydrogen-ontology#Irgacure819 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Irgacure Oxe 02 | https://w3id.org/h2kg/hydrogen-ontology#IrgacureOxe02 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Iridium Oxide Catalyst | https://w3id.org/h2kg/hydrogen-ontology#IridiumOxideCatalyst | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Iron Acetate | https://w3id.org/h2kg/hydrogen-ontology#IronAcetate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Iron II Ichloride Hexahydrate | https://w3id.org/h2kg/hydrogen-ontology#IronIIIchlorideHexahydrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Iron III Nitrate Nonahydrate | https://w3id.org/h2kg/hydrogen-ontology#IronIIINitrateNonahydrate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=1
Iron Iron Oxide Catalyst Nanoparticle | https://w3id.org/h2kg/hydrogen-ontology#IronIronOxideCatalystNanoparticle | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=2
Iron Oxide Fe 3 O 4 | https://w3id.org/h2kg/hydrogen-ontology#IronOxideFe3O4 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Isodecyl Acrylate | https://w3id.org/h2kg/hydrogen-ontology#IsodecylAcrylate | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
Isopropanol | https://w3id.org/h2kg/hydrogen-ontology#Isopropanol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=10
Isopropyl Alcohol | https://w3id.org/h2kg/hydrogen-ontology#IsopropylAlcohol | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=4
Jeffamine M 2005 | https://w3id.org/h2kg/hydrogen-ontology#JeffamineM2005 | type=https://w3id.org/h2kg/hydrogen-ontology#Matter | incoming_refs=0
JV Performance Dataset | https://w3id.org/h2kg/hydrogen-ontology#JVPerformanceDataset | type=https://w3id.org/h2kg/hydrogen-ontology#Data | incoming_refs=1
